"ip","finger","hash","name","race","background","date","class","justClass","subclass","level","feats","HP","AC","Str","Dex","Con","Int","Wis","Cha","alignment","skills","weapons","spells","castingStat","choices","country","countryCode","processedAlignment","good","lawful","processedRace","processedSpells","processedWeapons","alias","justClassClean","subclassClean","StrMod","DexMod","ConMod","IntMod","WisMod","ChaMod","Acrobatics","AnimalHandling","Arcana","Athletics","Deception","History","Insight","Intimidation","Investigation","Medicine","Nature","Perception","Performance","Persuasion","Religion","SleightOfHand","Stealth","Survival","StrSkills","DexSkills","IntSkills","WisSkills","ChaSkills","ConSkills","TotProfSkills"
"ac87645","48bf474","19b8f08d066d8a2aacabb818e6d53899","0de5ab9c","Half-Orc","Acolyte",2022-01-10 18:59:19,"Barbarian 20","Barbarian","Path of the Zealot",20,"Great Weapon Master|Alert",380,20,24,16,24,16,13,10,"","Athletics|Nature|Religion|Animal Handling|Insight|Perception|Intimidation","Greatsword|Spear|Javelin","","Int","","United States","US","",NA,NA,"Half-Orc","","Greatsword|Spear|Javelin","laughing_mclaren","Barbarian","Path of the Zealot",7,3,7,3,1,0,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,0,0,0,1,0,2,3,1,0,7
"7a90f37","3dab027","bdc279a8ae4038973a1d4243cb317a39","b9f81bfd","Firbolg","Urban Bounty Hunter",2021-12-20 18:16:52,"Druid 20","Druid","Circle of Spores",20,"Polearm Master",159,17,11,18,14,10,20,10,"","Stealth|Nature|Animal Handling|Insight","","Chill Touch*0|Blindness/Deafness*2|Gentle Repose*2|Animate Dead*3|Gaseous Form*3|Blight*4|Confusion*4|Cloudkill*5|Contagion*5","Wis","","United States","US","",NA,NA,"Firbolg","Chill Touch*0|Blindness/Deafness*2|Gentle Repose*2|Animate Dead*3|Gaseous Form*3|Blight*4|Confusion*4|Cloudkill*5|Contagion*5","","sad_hypatia","Druid","Circle of Spores",0,4,2,0,5,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,2,0,0,4
"61360ce","6083fb2","c8000a211119d1d20030040dcf9d9338","79e53fe3","Human","Sage",2021-12-20 18:08:13,"Wizard 20","Wizard","School of Necromancy",20,"Metamagic Adept|Telekinetic",119,14,10,18,13,21,10,10,"","Arcana|History|Investigation|Religion|Insight","Quarterstaff","Animate Dead*3","Int","metamagic/Twinned Spell*Quickened Spell","United States","US","",NA,NA,"Human","Animate Dead*3","Quarterstaff","inspiring_gagarin","Wizard","School of Necromancy",0,4,1,5,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,4,1,0,0,5
"4308447","6f471d5","e051ea26d8c18d6f33744572efbead36","6ac49724","Human","Sage",2021-12-19 17:24:48,"Cleric 20","Cleric","Peace Domain",20,"Fey Touched|Tough|Inspiring Leader|Lucky",183,17,8,13,14,10,20,14,"LG","Arcana|History|Religion|Insight|Performance|Persuasion","Crossbow, light|Dart","Spare The Dying*0|Toll The Dead*0|Sacred Flame*0|Thaumaturgy*0|Light*0|Heroism DD*1|Sanctuary DD*1|Bless*1|Protection from Evil/Good*1|Aid DD*2|Warding Bond DD*2|Blindness/Deafness*2|Lesser Restoration*2|Locate Object*2|Spiritual Weapon*2|Beacon of Hope DD*3|Sending DD*3|Remove Curse*3|Mass Healing Word*3|Revivify*3|Magic Circle*3|Bestow Curse*3|Water Walk R*3|Spirit Guardians*3|Aura of Purity DD*4|Resilient Sphere DD*4|Banishment*4|Flame Strike*4|Greater Restoration DD*5|Telepathic Bond DD*5|Mass Cure Wounds*5|Raise Dead*5|Hallow*5|Scrying*5|Forbiddance*6|Heroes Feast*6|True Seeing*6|Plane Shift*7|Regenerate*7|Symbol*7|Temple Of The Gods*7|Antimagic Field*8|Holy Aura*8|Mass Heal*9|True Resurrection*9|Gate*9","Wis","","United States","US","LG",NA,NA,"Human","Spare the Dying*0|Toll the Dead*0|Sacred Flame*0|Thaumaturgy*0|Light*0|Heroism*1|Sanctuary*1|Bless*1|Protection from Evil and Good*1|Aid*2|Warding Bond*2|Blindness/Deafness*2|Lesser Restoration*2|Locate Object*2|Spiritual Weapon*2|Beacon of Hope*3|Sending*3|Remove Curse*3|Mass Healing Word*3|Revivify*3|Magic Circle*3|Bestow Curse*3|Water Walk*3|Spirit Guardians*3|Aura of Purity*4|*|Banishment*4|*|Greater Restoration*5|Rary's Telepathic Bond*5|Mass Cure Wounds*5|Raise Dead*5|Hallow*5|Scrying*5|Forbiddance*6|Heroes' Feast*6|True Seeing*6|Plane Shift*7|Regenerate*7|Symbol*7|Temple of the Gods*7|Antimagic Field*8|Holy Aura*8|Mass Heal*9|True Resurrection*9|Gate*9","Crossbow, Light|Dart","inspiring_heyrovsky","Cleric","Peace Domain",-1,1,2,0,5,2,0,0,1,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,3,1,2,0,6
"a23512f","71d1281","558925b2a9f31a0a00b8f317e6a3cf47","92db4c69","Human","Acolyte",2021-11-18 20:59:47,"Monk 20","Monk","Way of the Four Elements",20,"Mobile|Athlete",123,21,14,20,12,14,22,14,"","Athletics|Acrobatics|History|Religion|Insight","Quarterstaff|Dart|Unarmed Strike","","Int","elemental disciplines/Fist of Unbroken Air*Rush of the Gale Spirits*Ride the Wind*Mist Stance","United States","US","",NA,NA,"Human","","Quarterstaff|Dart|Unarmed Strike","confident_ritchie","Monk","Way of the Four Elements",2,5,1,2,6,2,1,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1,2,1,0,0,5
"ac87645","0af49e7","e2aae7dbdb967b889587e64355e67bdd","c52b507f","Lineage - Glas","Folk Hero",2021-10-28 18:06:59,"Paladin 20","Paladin","Oath of Glory",20,"Great Weapon Master|Sentinel",250,16,20,16,16,12,14,20,"","Athletics|Animal Handling|Medicine|Survival","Glaive|Double scimitar|Javelin","Guiding Bolt*1|Heroism*1|Enhance Ability*2|Magic Weapon*2|Haste*3|Protection from Energy*3|Compulsion*4|Freedom of Movement*4|Commune*5|Flame Strike*5","Cha","fighting style/Great Weapon Fighting","United States","US","",NA,NA,"Tiefling","Guiding Bolt*1|Heroism*1|Enhance Ability*2|Magic Weapon*2|Haste*3|Protection from Energy*3|Compulsion*4|Freedom of Movement*4|Commune*5|Flame Strike*5","Glaive|Scimitar|Javelin","stoic_neumann","Paladin","Oath of Glory",5,3,3,1,2,5,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,3,0,0,4
"f9f71c2","bbf051b","2d4726759389cb981a2502c68792fe67","31b9696e","Human","Barbarian Tribe Member",2021-10-12 01:29:38,"Fighter 20","Fighter","Samurai",20,"Dual Wielder|Tough",264,17,20,12,20,10,13,10,"","Athletics|Acrobatics|Insight|Perception|Survival|Intimidation","Longsword|Shortsword|Crossbow, light","","Int","fighting style/Two-Weapon Fighting","Germany","DE","",NA,NA,"Human","","Longsword|Shortsword|Crossbow, Light","priceless_snyder","Fighter","Samurai",5,1,5,0,1,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,1,0,3,1,0,6
"0f9cff6","d4ae7e0","bd7257e006a1734193eca3567ee99296","ae63ed2b","Hexed Lineage","Hermit",2021-09-27 11:30:59,"Wizard 20","Wizard","War Magic",20,"",122,10,9,10,14,20,18,14,"","Arcana|History|Nature|Religion|Insight|Medicine","Dagger","","Int","","Canada","CA","",NA,NA,"Tiefling","","Dagger","nifty_ritchie","Wizard","War Magic",-1,0,2,5,4,2,0,0,1,0,0,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,4,2,0,0,6
"bc99a68","1049c4f","5daf4cf285915114bfb21c41b0a2a208","7bfde458","Dragonborn","Soldier",2021-09-12 12:04:49,"Paladin 20","Paladin","Oath of Vengeance",20,"Shield Master|Sentinel|Inspiring Leader",195,23,16,12,13,8,10,20,"Lawful Neutral","Athletics|Insight|Medicine|Intimidation","Longsword|Sun Blade","Bane*1|Hunter’s Mark*1|Hold Person*2|Misty Step*2|Haste*3|Protection from Energy*3|Banishment*4|Dimension Door*4|Hold Monster*5|Scrying*5","Cha","fighting style/Dueling","United States","US","LN",NA,NA,"Dragonborn","Bane*1|Hunter's Mark*1|Hold Person*2|Misty Step*2|Haste*3|Protection from Energy*3|Banishment*4|Dimension Door*4|Hold Monster*5|Scrying*5","Longsword|","dreamy_kowalevski","Paladin","Oath of Vengeance",3,1,1,-1,0,5,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,2,1,0,4
"","e2c4f41","237172d69b67b80d185186db680bf72b","cc4220c5","Half-Orc","Druid Child",2021-09-09 13:36:33,"Cleric 20","Cleric","Nature Domain",20,"Aberrant Dragonmark|Resilient|Lucky",225,22,16,12,22,11,24,8,"Chaotic neutral","Athletics|Nature|Animal Handling|Perception|Survival|Intimidation","DancingClub|Anodyne+3|Lightning Jav|Crossbow, light","Guidance*0|Spare The Dying*0|Sacred Flame*0|Mending*0|Toll The Dead*0|Booming Blade(Ab)*0|Word Of Radiance*0|Thaumaturgy*0|Light*0|(DOM)Faerie Fire*1|Shield Of Faith*1|Detect Magic (Ritual)*1|Guiding Bolt*1|Healing Word*1|Bane*1|Shield(1per Short Rest)*1|Thunderwave (At Will)*1|Bless*1|Ceremony*1|Command*1|Create Or Destroy Water*1|Cure Wounds*1|Detect EvilandGood*1|Detect PoisonandDisease*1|Inflict Wounds*1|Protect From GoodandEvil*1|Purify FoodandDrink*1|Sanctuary*1|(DOM) Sleep*1|(DOM)Darkness*2|(DOM)Invisibility*2|Spiritual Weapon*2|Silence (Ritual)*2|Hold Person*2|Aid*2|Augury (Ritual)*2|Blindness/Deafness*2|Calm Emotions*2|Lesser Restoration*2|Enhance Ability*2|Gentle Repose*2|Locate Object*2|Prayer Of Healing*2|Warding Bond*2|Protection From Poison*2|Zone Of Truth*2|(DOM)Aura Of Vitality*3|(DOM)Leomund's Tiny Hut*3|Revivify*3|Mass Healing Word*3|Dispel Magic*3|Spirit Guardian*3|Animate Dead*3|Beacon Of Hope*3|Bestow Curse*3|Clairvoyance*3|Create FoodandWater*3|Daylight*3|Feign Death (Ritual)*3|Glyph Of Warding*3|Life Transference*3|Magic Circle*3|Meld Into Stone(Ritual)*3|Sending*3|Remove Curse*3|Protection From Energy*3|Speak With Dead*3|Tongues*3|Water Walk (Ritual)*3|(DOM)Aura Of Life*4|(DOM)Greater Invisibility*4|Banishment*4|Death Ward*4|Control Water*4|Divination*4|Freedom Of Movement*4|Guardian Of Faith*4|Locate Creature*4|Stone Shape*4|(DOM)Circle Of Power*5|Mass Cure Wounds*5|Flame Strike*5|Commune(Ritual)*5|Contagion*5|Dawn*5|Dispel EvilandGood*5|Geas*5|Greater Restoration*5|Hallow*5|Holy Weapon*5|Insect Plague*5|Legend Lore*5|Planar Binding*5|Raise Dead*5|Scrying*5|(DOM)Dream*5|Heal*6|Blade Barrier*6|Create Undead*6|Find The Path*6|Forbiddance(Ritual)*6|Harm*6|Heroes' Feast*6|Planar Ally*6|True Seeing*6|Word Of Recall*6|Otherworldly Form*6|Conjure Celestial*7|Divine Word*7|Etherealness*7|Fire Storm*7|Plane Shift*7|Regenerate*7|Resurrection*7|Symbol*7|Antimagic Field*8|Control Weather*8|Earthquake*8|Holy Aura*8|Mass Heal*9|Astral Projection*9|Gate*9|True Resurrection*9","Wis","","Canada","CA","CN",NA,NA,"Half-Orc","Guidance*0|Spare the Dying*0|Sacred Flame*0|Mending*0|Toll the Dead*0|Booming Blade*0|Word of Radiance*0|Thaumaturgy*0|Light*0|Faerie Fire*1|Shield of Faith*1|Detect Magic*1|Guiding Bolt*1|Healing Word*1|Bane*1|Shield of Faith*1|Thunderwave*1|Bless*1|Ceremony*1|Command*1|Create or Destroy Water*1|Cure Wounds*1|Detect Evil and Good*1|Detect Poison and Disease*1|Inflict Wounds*1|*|Purify Food and Drink*1|Sanctuary*1|Sleep*1|Darkness*2|Invisibility*2|Spiritual Weapon*2|Silence*2|Hold Person*2|Aid*2|Augury*2|Blindness/Deafness*2|Calm Emotions*2|Lesser Restoration*2|Enhance Ability*2|Gentle Repose*2|Locate Object*2|Prayer of Healing*2|Warding Bond*2|Protection from Poison*2|Zone of Truth*2|Aura Of Vitality*3|Leomund's Tiny Hut*3|Revivify*3|Mass Healing Word*3|Dispel Magic*3|Spirit Guardians*3|Animate Dead*3|Beacon of Hope*3|Bestow Curse*3|Clairvoyance*3|Create Food and Water*3|Daylight*3|Feign Death*3|Glyph of Warding*3|Life Transference*3|Magic Circle*3|Meld Into Stone*3|Sending*3|Remove Curse*3|Protection from Energy*3|Speak with Dead*3|Tongues*3|Water Walk*3|Aura of Life*4|Greater Invisibility*4|Banishment*4|Death Ward*4|Control Water*4|Divination*4|Freedom of Movement*4|Guardian of Faith*4|Locate Creature*4|Stone Shape*4|Circle of Power*5|Mass Cure Wounds*5|Flame Strike*5|Commune*5|Contagion*5|Dawn*5|Dispel Evil and Good*5|Geas*5|Greater Restoration*5|Hallow*5|Holy Weapon*5|Insect Plague*5|Legend Lore*5|Planar Binding*5|Raise Dead*5|Scrying*5|Dream*5|Heal*6|Blade Barrier*6|Create Undead*6|Find the Path*6|Forbiddance*6|Harm*6|Heroes' Feast*6|Planar Ally*6|True Seeing*6|Word of Recall*6|*|Conjure Celestial*7|Divine Word*7|Etherealness*7|Fire Storm*7|Plane Shift*7|Regenerate*7|Resurrection*7|Symbol*7|Antimagic Field*8|Control Weather*8|Earthquake*8|Holy Aura*8|Mass Heal*9|Astral Projection*9|Gate*9|True Resurrection*9","Club|||Crossbow, Light","peaceful_pare","Cleric","Nature Domain",3,1,6,0,7,-1,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,0,1,3,1,0,6
"52c138b","4fd1e4b","b808e3bb7a58a0c38ccc6724aa7aa632","ea3ec0cd","Tabaxi","Port City Noble",2021-08-08 14:03:48,"Cleric 20","Cleric","Light Domain",20,"Observant|Telekinetic|Lucky",208,19,13,18,16,14,20,16,"NG","Stealth|History|Insight|Medicine|Perception|Persuasion","Mace|Crossbow, light|Voyager Staff +1","Light*0|Toll Of The Dead *0|Sacred Flame *0|Resistance *0|Word Of Radiance *0|Burning Hands*1|Faerie Fire*1|Bless *1|Create Or Destroy Water *1|Detect Good And Evil *1|Inflict Wounds *1|Shield Of Faith *1|Guiding Bolt *1|Flaming Sphere*2|Scorching Ray*2|Hold Person *2|Spiritual Weapon *2|Daylight*3|Fireball*3|Spirit Gardian *3|Dispel Magick *3|Guardian of Faith*4|Wall of Fire*4|Death Ward*4|Stone Shape *4|Flame Strike*5|Scrying*5|Dawn *5|Holy Weapon *5|Heal*6|True Seeing *6|Harm *6|Conjurer Celestial *7|Divine Word *7|Firestorm *7|Holy Aura *8|Sunburst *8|Gate *9","Wis","",NA,NA,"NG",NA,NA,"Tabaxi","Light*0|Toll the Dead*0|Sacred Flame*0|Resistance*0|Word of Radiance*0|Burning Hands*1|Faerie Fire*1|Bless*1|Create or Destroy Water*1|Detect Evil and Good*1|Inflict Wounds*1|Shield of Faith*1|Guiding Bolt*1|Flaming Sphere*2|Scorching Ray*2|Hold Person*2|Spiritual Weapon*2|Daylight*3|Fireball*3|Spirit Guardians*3|Dispel Magic*3|Guardian of Faith*4|Wall of Fire*4|Death Ward*4|Stone Shape*4|Flame Strike*5|Scrying*5|Dawn*5|Holy Weapon*5|Heal*6|True Seeing*6|Harm*6|Conjure Celestial*7|Divine Word*7|Fire Storm*7|Holy Aura*8|Sunburst*8|Gate*9","Mace|Crossbow, Light|","fervent_germain","Cleric","Light Domain",1,4,3,2,5,3,0,0,0,0,0,1,1,0,0,1,0,1,0,1,0,0,1,0,0,1,1,3,1,0,6
"e115ad2","06dc7d7","aa02e3ead237a9abfa36a7fa321695cd","232ee42e","Human","Outlander",2021-07-19 19:16:34,"Fighter 20","Fighter","Samurai",20,"Great Weapon Master|Polearm Master",174,16,20,17,20,8,10,8,"Lawful Neutral","Athletics|Acrobatics|Animal Handling|Perception|Survival","Greatsword|Crossbow, light","","Int","fighting style/Great Weapon Fighting|combat superiority maneuvers/Precision Attack","United States","US","LN",NA,NA,"Human","","Greatsword|Crossbow, Light","pensive_shockley","Fighter","Samurai",5,3,5,-1,0,-1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,3,0,0,5
